Topic	Difficulty	Source	QuestionType	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
Syllables	medium	Day 11 Handout, Question 1		Explain how these examples help support the overall syllable structure of a syllable consisting of an onset and rime, and the rime consisting of a nucleus and coda.			english_poetry.png							alliteration gives evidence for onsets, assonance for nuclei (including an entire diphthong); slant rhymes for codas; full rhymes for nucleus plus coda together -- but we don't have anything for "beginning of word through to and including the nculeus"
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CV		ponapean_syllabletemplate.png						omit	allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	C		ponapean_syllabletemplate.png							not allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CCV		ponapean_syllabletemplate.png							not allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CVV		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CVVC		ponapean_syllabletemplate.png							not allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CVC		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	VC		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	VV		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	V		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	VCC		ponapean_syllabletemplate.png							not allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	VVC		ponapean_syllabletemplate.png							not allowed
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_kaprose_no.png		peng_rules.png		vertical			no -- the [p] should be in the onset because the onset rule precedes the coda rule
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_tumigo_no.png		peng_rules.png		vertical			no -- the [g] should be in the onset because it's a simple onset (step b)
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_fletoldu_no.png		peng_rules.png		vertical			no -- the [l] should be in the onset because the onset rule precedes the coda rule; yes, this violates sonority sequencing but no reference is made to that below
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_kaprosse_yes.png		peng_rules.png		vertical			yes; the long [s] is part of the onset here because the onset rule applies before the coda rule
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_uvkeman_yes.png		peng_rules.png		vertical			yes; the onset rule precedes the coda rule, which puts [v] into the onset (even though that violates sonority), but then we do get the [n] in coda position because it can't go into an onset, and the coda rule does apply
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_tuumigo_yes.png		peng_rules.png		vertical	this one was a poll question	omit	yes; the long vowel is projected to a single Rime slot
Syllables	medium	Day 11 Handout, Question 8		Explain how you could modify the rule-based approach to take into account the sonority sequencing principle.			peng_rules.png							basically, you need to say something like: Modified onset rule: adjoin a consonant to the left of an onset to that onset, if the consonant has a LOWER sonority than the onset
Syllables	easy	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_tumigo_yes.png		peng_template_withdiagram.png		vertical			yes; this is just all CV syllables
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_kaprose_yes.png		peng_template_withdiagram.png		vertical			yes; all syllables allowed by template, and this is what you get going L to R
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_fletoldu_no.png		peng_template_withdiagram.png		vertical			no -- the initial consonant shouldn't be marked extrasyllabic accoridng to the notes provided
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_tuumigo_no.png		peng_template_withdiagram.png		vertical			no -- both moras of the long vowel should be associated with the first syllable, because the template allows long Vs
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_kaprosse_yes.png		peng_template_withdiagram.png		vertical			yes; all syllables allowed by template, and this is what you get going L to R
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_uvkeman_no.png		peng_template_withdiagram.png		vertical			no -- although all the syllables are allowed by the template, the final consonant should have been marked as extra-syllabic and not put into the coda
Alternations	easy	Day 11 Handout, Question 12		Explain why what you’re analyzing in the following dataset either is or is not an alternation.			yawelmani.png							it's not an alternation -- we don't have multiple *surface* forms of the same morpheme; the different forms are the UR and the SR, and so they are not predictable from phonological context (the SR is derived from the UR by rule)
Syllables	easy	Day 11 Handout, Question 12		Explain how understanding syllable structure helps understand the motivation for the process(es) seen in this data.			yawelmani.png							although syllabification must happen after insertion, the insertion is motivated by making things syllabifiable -- we insert a vowel into a sequence of CCC in order to prevent any complex onsets / codas or syllabic consonants from having to be used
Syllables	easy	Day 11 Handout, Question 13		Explain how understanding syllable structure helps understand the motivation for the process(es) seen in this data.			atticgreek.png							although syllabification must happen after deletion, the deletion is motivated by making things syllabifiable -- we delete a consonant from a sequence of CCC in order to prevent any complex onsets / codas or syllabic consonants from having to be used
Syllables	hard	Day 11 Handout, Question 14		How does syllabification play a role in the analysis of the phonological relationship between tense and lax high vowels in Quebec French?			quebecfrench.png							here, syllabification must precede the rest of the analysis; the tense vowels ([i] and [u]) occur in open syllables, while the lax vowels occur in closed syllables -- so e.g. we might have a rule of vowel laxing that says [+high, +syll] --> [-tense] / \_\_ C., with a period to specifically mark the syllable boundary in the context of the rule
Syllables	medium	Day 11 Handout, Question 15	signlanguage	Do these two signs have the same syllable structure or different, and why?			asl_highschool.png	HIGH SCHOOL	asl_hard.png	HARD	vertical			different in sonority: HIGH SCHOOL - monosyllabic, low-sonority / HARD - monosyllabic, high-sonority
Syllables	medium	Day 11 Handout, Question 15	signlanguage	Do these two signs have the same syllable structure or different, and why?			asl_milk.png	MILK	asl_understand.png	UNDERSTAND	vertical			different in number of syllables: MILK - disyllabic, low-sonority / UNDERSTAND - monosyllabic, low-sonority
Syllables	medium	Day 11 Handout, Question 15	signlanguage	Do these two signs have the same syllable structure or different, and why?			asl_coffee.png	COFFEE	asl_frog.png	FROG	vertical			different in sonority: COFFEE - disyllabic, high-sonority / FROG - disyllabic, low-sonority
Syllables	medium	Day 11 Handout, Question 15	signlanguage	Do these two signs have the same syllable structure or different, and why?			asl_university.png	UNIVERSITY	asl_pencil.png	PENCIL	vertical			different in number of syllables: UNIVERSITY - monosyllabic, high-sonority / PENCIL - disyllabic, high-sonority
Syllables	hard	Day 11 Handout, Question 16		How does syllabification play a role in the analysis of Tibetan numerals?			tibetan.png							morphemes that seem to have initial CC clusters (which are visible word-medially, where the CC sequence can be broken up across a syllable boundary) are simplified by deleting the initial consonant when the morpheme occurs word-initially, to avoid complex onsets (perhaps especially because these complex onsets would violate the sonority sequencing principle, which is what makes it hard for students to even imagine that the morphemes have these CC sequences initially!)
Tone	easy	Quiz 10, Question 1		Section 4.2 of chapter 13 in the Peng textbook presented an autosegmental analysis of Mende tone distribution. Explain why the form shown below should NOT be the UR for any morpheme in Mende.			mende_house_a.png							URs don't have pre-linked tones; the association lines are generated by rules (tone-mapping procedures)
Tone	easy	Quiz 10, Question 1		Section 4.2 of chapter 13 in the Peng textbook presented an autosegmental analysis of Mende tone distribution. Explain why the form shown below should NOT be the UR for any morpheme in Mende.			mende_house_b.png							There's no reason to violate the OCP in the UR of a single morpheme, but this one has two adjacent H tones
Tone	easy	Quiz 10, Question 1		Section 4.2 of chapter 13 in the Peng textbook presented an autosegmental analysis of Mende tone distribution. Explain why the form shown below should NOT be the UR for any morpheme in Mende.			mende_house_d.png							URs don't have pre-linked tones; the association lines are generated by rules (tone-mapping procedures)
Tone	easy	Quiz 10, Question 1		Section 4.2 of chapter 13 in the Peng textbook presented an autosegmental analysis of Mende tone distribution. Explain why the form shown below should NOT be the UR for any morpheme in Mende.			mende_house_e.png							URs don't have pre-linked tones; the association lines are generated by rules (tone-mapping procedures), AND there's no reason to violate the OCP in the UR of a single morpheme, but this one has two adjacent H tones
Tone	easy	Quiz 10, Question 3		Section 4.2 of chapter 13 in the Peng textbook presented an autosegmental analysis of Mende tone distribution. Explain why the form shown below should NOT be the UR for any morpheme in Mende.			mende_junction_a.png							URs don't have pre-linked tones; the association lines are generated by rules (tone-mapping procedures)
Tone	easy	Quiz 10, Question 3		Section 4.2 of chapter 13 in the Peng textbook presented an autosegmental analysis of Mende tone distribution. Explain why the form shown below should NOT be the UR for any morpheme in Mende.			mende_junction_b.png							There's no reason to violate the OCP in the UR of a single morpheme, but this one has two adjacent L tones
Tone	easy	Quiz 10, Question 3		Section 4.2 of chapter 13 in the Peng textbook presented an autosegmental analysis of Mende tone distribution. Explain why the form shown below should NOT be the UR for any morpheme in Mende.			mende_junction_c.png							URs don't have pre-linked tones; the association lines are generated by rules (tone-mapping procedures), AND there's no reason to violate the OCP in the UR of a single morpheme, but this one has two adjacent L tones
Tone	easy	Quiz 10, Question 3		Section 4.2 of chapter 13 in the Peng textbook presented an autosegmental analysis of Mende tone distribution. Explain why the form shown below should NOT be the UR for any morpheme in Mende.			mende_junction_d.png							URs don't have pre-linked tones; the association lines are generated by rules (tone-mapping procedures)
Phonological Features	medium	Homework 5, Question 1		Explain which sound should be removed to make this a natural class, and what the minimum set of features would be to describe the resulting natural class.	[i], [ɪ], [ɛ], [u], [ʊ]									[ɛ] should be removed, so that we have the natural class of high vowels; this could be minimally represented with [+syll, +high]
Phonological Features	medium	Homework 5, Question 1		Explain which sound should be removed to make this a natural class, and what the minimum set of features would be to describe the resulting natural class.	[i], [ɪ], [e], [ɛ], [æ], [ɑ], [ɔ], [o], [ʊ], [u], [ʒ], [k], [ɡ], [ŋ], [w]									[ʒ] should be removed, so that we have the natural class of dorsal segments; this could be minimally represented with [DORSAL]
Phonological Features	medium	Homework 5, Question 1		Explain which sound should be removed to make this a natural class, and what the minimum set of features would be to describe the resulting natural class.	[v], [z], [ʃ], [ʒ], [ð]									[ʃ] should be removed, so that we have the natural class of voiced fricatives; this could be minimally represented with [+voice, +cont, -son]
Phonological Features	medium	Homework 5, Question 1		Explain which sound should be removed to make this a natural class, and what the minimum set of features would be to describe the resulting natural class.	[b], [d], [z], [ɾ], [n], [l], [ɹ]									[b] should be removed, so that we have the natural class of voiced alveolars; this could be minimally represented with [+voice, -distributed]
Syllables	medium	Homework 5, Question 2		Explain what the syllable template for Fula should look like and why.			fula.png					hard for them to actually draw a template on the exam (not all have web cameras)	omit	the only syllable types we see in the dataset are CV and CVC, so onsets are required and codas are optional; whether the coda should be moraic or not is not determinable from this dataset
Syllables	hard	Homework 5, Question 2		Explain why the insertion analysis is better than the deletion analysis for this dataset.			fula.png							If you have /VC/ as the underlying form of these suffixes, there’s no reason to delete the vowel, because you'd have perfect CV syllables throughout the word. But if you have /C/ as the underlying form, it’s clear that we occasionally need an extra vowel in order to allow syllabification to happen; otherwise, we’d end up with non-syllabifiable CCC sequences. That is, there’s a phonological motivation for the insertion rule, but no motivation for the deletion rule.
Tone	medium	Day 12 Handout, Question 5		Explain which of the three rules will apply to the form given below, and whether each of those rules would have an effect or not.	Peng’s Tone-Mapping Procedure for Mende: \begin{enumerate} \item L-to-R association: Associate the first tone to the first TBU, the second tone to the second TBU, and so on, until all tones or all TBUS are exhausted. \item Last-TBU Linking: Associate any remaining unlinked tones to the last TBU. \item Last-Tone Linking: Associate the last tone to any TBU without a tone. \end{enumerate}		mendetone_a.png							L-to-R association is the only one that applies; it links up each of the three tones to a TBU, and then the other rules have nothing to do, because their context isn't met (there are no leftover tones or TBUs)
Tone	medium	Day 12 Handout, Question 5		Explain which of the three rules will apply to the form given below, and whether each of those rules would have an effect or not.	Peng’s Tone-Mapping Procedure for Mende: \begin{enumerate} \item L-to-R association: Associate the first tone to the first TBU, the second tone to the second TBU, and so on, until all tones or all TBUS are exhausted. \item Last-TBU Linking: Associate any remaining unlinked tones to the last TBU. \item Last-Tone Linking: Associate the last tone to any TBU without a tone. \end{enumerate}		mendetone_b.png							L-to-R association applies and links the H tone to the first TBU [a]; last-TBU linking doesn't apply because there are no leftover tones; then last-tone linking does apply, and connects all of the leftover TBUs (in this case, [u] and [e]) to the final tone (in this case, H)
Tone	medium	Day 12 Handout, Question 5		Explain which of the three rules will apply to the form given below, and whether each of those rules would have an effect or not.	Peng’s Tone-Mapping Procedure for Mende: \begin{enumerate} \item L-to-R association: Associate the first tone to the first TBU, the second tone to the second TBU, and so on, until all tones or all TBUS are exhausted. \item Last-TBU Linking: Associate any remaining unlinked tones to the last TBU. \item Last-Tone Linking: Associate the last tone to any TBU without a tone. \end{enumerate}		mendetone_c.png							L-to-R association applies and links the H tone to the first TBU [a] and the L tone to the second TBU [u]; last-TBU linking doesn't apply because there are no leftover tones; then last-tone linking does apply, and connects all of the leftover TBUs (in this case, [e]) to the final tone (in this case, L)
Tone	medium	Day 12 Handout, Question 5		Explain which of the three rules will apply to the form given below, and whether each of those rules would have an effect or not.	Peng’s Tone-Mapping Procedure for Mende: \begin{enumerate} \item L-to-R association: Associate the first tone to the first TBU, the second tone to the second TBU, and so on, until all tones or all TBUS are exhausted. \item Last-TBU Linking: Associate any remaining unlinked tones to the last TBU. \item Last-Tone Linking: Associate the last tone to any TBU without a tone. \end{enumerate}		mendetone_d.png							L-to-R association applies, and links the first three tones (H L H) to the first three TBUs ([a], [u], [e]). Then last-TBU linking applies and links the leftover L tone to the last TBU ([e]). Last-tone linking will not apply because there are no leftover TBUs.
Tone	medium	Day 12 Handout, Question 6	UR	Explain how you would figure out the underlying representations of stems in this dataset.			kukuya.png							We don't see any alternations in this dataset, so we're just looking at static patterns; we don't have completely contrastive examples, but we do have tonal contrasts -- a single-mora root, for example, can be L, H, LH, HL, or LHL (and some of these roots are even segmentally contrastive, too). We see that these are the five basic patterns of tone, and they can get stretched out or squished together, but there are all five, so we assume that these are the tonal invntory. For any actual word, we take its segments and combine it (without associaton lines) with the appropriate tonal category.
Tone	medium	Day 12 Handout, Question 6		Explain how you would figure out the tone-mapping procedures that apply in this dataset.			kukuya.png							You probably start with procedures that you know work for some other language like Mende, and see whether they work here. In this case, we (1) look at cases of words that have one of the contour tones, because words with only H or only L will just always have a single tone associated with all of the TBUs, but contour tones can help you see e.g. “where” the contour happens; (2) look at cases of words with a mismatch in the number of tones and TBUs (e.g. HL tones and VVV, or LHL tones and VV), because these are cases where one-to-one mapping will fail. By seeing that the “tail” of contours is to the left, not the right (e.g., it’s LLH not LHH) and that in the triple-tone words with two TBUs, we have the contour to the left (LH, then L; not L, then HL), we see that the “leftover” stuff needs to be on the left edge instead of the right edge. Hence, the initial mapping procedure should proceed from right to left instead of left to right.
Tone	hard	Day 12 Handout, Question 7	UR	Explain how you would figure out the underlying representations of the root morphemes in this dataset.			shona.png							the root morphemes do not alternate, so their URs should be the same as their SRs, but with autosegmental representations -- so [teŋɡ] and H for 'buy' and [ereŋɡ] and L for 'read' 
Tone	hard	Day 12 Handout, Question 7	UR	Explain how you would figure out the underlying representations of the suffix morphemes in this dataset.			shona.png							the suffix morphemes alternate, so we need to pick either one or the other or something else for their URs; because their tone is always predictable from their context, we can assume that they get the tones just from the tone-mapping procedures and are underlyingly toneless (the segments never alternate, so they are the same as in their URs)
Tone	hard	Day 12 Handout, Question 7		What would be a good description of the alternation in this dataset?			shona.png							The suffixes that alternate appear with a H tone after a H-toned root, and wtih a L tone after a L-toned root. For example, the causative suffix appears with a H tone, as [és], in [-téŋɡ-és-á] ‘sell,’ but with a L tone, as [ès], in [-èrèŋɡ-ès-à] ‘make read.’
Tone	hard	Day 12 Handout, Question 7		Explain how you would figure out the tone-mapping procedures that apply in this dataset.			shona.png							You probably start with procedures that you know work for some other language like Mende, and see whether they work here; in this case, there's only one underlying tone in each word, and it gets linked to every TBU, so you probably just need something like initial linking and then Leftover-TBU linking (there will never be any leftover tones)
Dataset	very hard	Final Exam Dataset		Explain how you would go about figuring out what to analyse in this dataset.			final_dataset.png							The first thing to do is a morphological analysis. There should be morphemes that represent each of the four tenses / aspects (present, past, future, and progressive), and morphemes that represent each root. The morphemes representing the tenses appear as (relatively) consistent forms in the columns; the morphemes representing the roots appear as consistent forms in the rows. Doing this reveals that the final 3 segments in the present forms and the final two segments in the progressive forms are suffixes (there are no zero morphemes, and all components have a one-to-one correspondence). Then we check for alternations. The alternations here are in the suffixes; each of the four suffixes has two forms. There are therefore four alternations, with two allomorphs each. So, what we need to analyze are the alternations in the suffix forms, where we see vowels alternating. Two of the alternations involve [i] and [ɯ], and the other two alternations involve [e] and [ɤ]. In each case, there’s a front vowel and a back vowel, which are otherwise matched for height and rounding, so we can likely generalize across the alternations.
Dataset	very hard	Final Exam Dataset		Give a good phonological description of the patterns in the dataset that should be analysed.			final_dataset.png							For each morpheme that alternates, there are two allomorphs, one with a front vowel and one with a back vowel. The allomorph with the back vowel occurs after another back vowel of the same height (e.g., [fɯd] in [jɤɡɯd-fɯd] ‘swallow, present’ or [sɤ] in [mikɤv-sɤ] ‘search, progressive’), regardless of any intervening consonants. The allomorph with the front vowel occurs elsewhere, including after a front vowel (e.g. [fid] in [sat-fid] ‘chew, present’ or [se] in [sat-se] ‘chew, progressive’) and after a back vowel of a different height (e.g. [fid] in [mikɤv-fid] ‘search, present’ or [se] in [jɤɡɯd-se] ‘swallow, progressive’). Again, these latter environments are regardless of any intervening consonants.
Dataset	very hard	Final Exam Dataset	UR	Explain what the underlying representation of these morphemes would be and why.	`search', `present'		final_dataset.png							For any morpheme that doesn’t alternate, its UR should be the same as its SR.  For the morphemes that alternate, the back-vowel version occurs in the narrower set of contexts (after a back vowel of the same height), so should be the one that we write a rule for. The front-vowel version occurs in the wider / elsewhere set of contexts (after a front vowel and after a back vowel of a different height), so this should be the UR. So in this case, we have the non-alternating root morpheme ‘search’ /mikɤv/ and the alternating suffix morpheme 'present' /fid/.
Dataset	very hard	Final Exam Dataset	UR	Explain what the underlying representation of these morphemes would be and why.	`mix', `past'		final_dataset.png							For any morpheme that doesn’t alternate, its UR should be the same as its SR.  For the morphemes that alternate, the back-vowel version occurs in the narrower set of contexts (after a back vowel of the same height), so should be the one that we write a rule for. The front-vowel version occurs in the wider / elsewhere set of contexts (after a front vowel and after a back vowel of a different height), so this should be the UR. So in this case, we have the non-alternating root morpheme ‘mix’ /sir/ and the alternating suffix morpheme 'past' /mi/.
Dataset	very hard	Final Exam Dataset	UR	Explain what the underlying representation of these morphemes would be and why.	`dig', `future'		final_dataset.png							For any morpheme that doesn’t alternate, its UR should be the same as its SR.  For the morphemes that alternate, the back-vowel version occurs in the narrower set of contexts (after a back vowel of the same height), so should be the one that we write a rule for. The front-vowel version occurs in the wider / elsewhere set of contexts (after a front vowel and after a back vowel of a different height), so this should be the UR. So in this case, we have the non-alternating root morpheme ‘dig’ /rekɯl/ and the alternating suffix morpheme 'future' /er/.
Dataset	very hard	Final Exam Dataset	UR	Explain what the underlying representation of these morphemes would be and why.	`invent', `progressive'		final_dataset.png							For any morpheme that doesn’t alternate, its UR should be the same as its SR.  For the morphemes that alternate, the back-vowel version occurs in the narrower set of contexts (after a back vowel of the same height), so should be the one that we write a rule for. The front-vowel version occurs in the wider / elsewhere set of contexts (after a front vowel and after a back vowel of a different height), so this should be the UR. So in this case, we have the non-alternating root morpheme ‘invent’ /peɡed/ and the alternating suffix morpheme 'progressive' /se/.
Dataset	very hard	Final Exam Dataset		Explain what rule or rules would apply in this dataset and how you know.			final_dataset.png							We need a rule of "Vowel Backing" as follows: [α high, +syllabic] --> [+back] / [α high, +back, +syllabic] C0 \_\_. This rule says that a vowel will become back if it follows another back vowel of the same height, regardless of any intervening consonants. We know this is the rule we need because we need to account for the suffix alternations; the suffixes appear either with a front vowel or a back vowel. The back versions occur only after a back vowel of the same height (so are the focus of the rule); the front vowels occur elsewhere (after a front vowel, or after a back vowel of a different height). We could have two separate rules, one for mid vowels and one for high vowels, but this misses the generalization that these rules are basically doing the same thing.
Dataset	very hard	Final Exam Dataset		Explain what the basic phonological analysis of this dataset is, and what the key pieces of evidence are.			final_dataset.png							The basic analysis here is that vowels of the same height need to agree in terms of backness. We see this in suffix alternations: there are four alternating suffixes, each with a back and front variant, and two of them have high vowels while two of them have mid vowels. Whenever the suffix comes after a root containing a back vowel at the same height as the suffix, the suffix also contains a back vowel, but when the root contains either a front vowel or a back vowel at a different height, the suffix contains the front vowel. Thus, we posit the front versions as the URs of the suffixes, because they occur in the wider set of contexts, and write a rule of vowel backing that only applies when the target vowel follows a back context vowel of the same height.
Tone	hard	delete this row		delete this row									omit	delete this row
														